file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000245,"File: 000245 | Title: Resolution urging the California State Legislature and Governor Davis to approve Senate Bill 1154 to guarantee funding for the treatment of breast and gynecological cancers for uninsured women. | Name: State Legislation, SB 1154, Funding for treatment of breast and gynecological cancers | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors",Resolution urging the California State Legislature and Governor Davis to approve Senate Bill 1154 to guarantee funding for the treatment of breast and gynecological cancers for uninsured women.,Resolution
000246,"File: 000246 | Title: Resolution authorizing the issuance of honorary certificates to domestic partners participating in the domestic partnership ceremony to be held in City Hall on March 23, 2000. | Name: Domestic Partnership Ceremony Honorary Certificate Authorization | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution authorizing the issuance of honorary certificates to domestic partners participating in the domestic partnership ceremony to be held in City Hall on March 23, 2000.",Resolution
000247,"File: 000247 | Title: Resolution urging the Department of Public Works to rename the south side of King Street bounded by Second and Third Streets to 24 Willie Mays Plaza, erecting double signage at this location. | Name: 24 Willie Mays Plaza | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution urging the Department of Public Works to rename the south side of King Street bounded by Second and Third Streets to 24 Willie Mays Plaza, erecting double signage at this location.",Resolution
000248,File: 000248 | Title: Resolution urging the San Francisco Housing Authority Commission to adopt the tenant protection policy for Hope VI residents that sets forth a baseline of guarantees and safeguards residents from displacement. | Name: Tenant protection policy for HOPE VI residents | Type: Resolution | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Resolution urging the San Francisco Housing Authority Commission to adopt the tenant protection policy for Hope VI residents that sets forth a baseline of guarantees and safeguards residents from displacement.,Resolution
000249,"File: 000249 | Title: Resolution commending CEO Bob Knowling, Jr. for helping minorities enter the technology workforce. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution commending CEO Bob Knowling, Jr. for helping minorities enter the technology workforce.",Resolution
000250,"File: 000250 | Title: Resolution commending the Advisory Dogs Off-Leash Task Force for its diligent work in conducting the research for, and presentation of, its final report. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution commending the Advisory Dogs Off-Leash Task Force for its diligent work in conducting the research for, and presentation of, its final report.",Resolution
000251,File: 000251 | Title: Resolution commending the Black Caucus of the National Council of Teachers of English for its sponsorship of the Eleventh National African American Read-In Chain. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors,Resolution commending the Black Caucus of the National Council of Teachers of English for its sponsorship of the Eleventh National African American Read-In Chain.,Resolution
000252,"File: 000252 | Title: Resolution commending Andrea Martin and The Breast Cancer Fund for its ""Obsessed with Breasts"" public awareness campaign. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution commending Andrea Martin and The Breast Cancer Fund for its ""Obsessed with Breasts"" public awareness campaign.",Resolution
000253,File: 000253 | Title: Resolution commending Carl Friedman for his work with the Department of Animal Care and Control and for his 25 years with the Commission on Animal Control and Welfare. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors,Resolution commending Carl Friedman for his work with the Department of Animal Care and Control and for his 25 years with the Commission on Animal Control and Welfare.,Resolution
000254,File: 000254 | Title: Resolution commending Valentin Porras for his exemplary service as head librarian of the San Francisco Public Library Bernal Heights Branch for the past six years. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors,Resolution commending Valentin Porras for his exemplary service as head librarian of the San Francisco Public Library Bernal Heights Branch for the past six years.,Resolution
000255,"File: 000255 | Title: Resolution commending and congratulating Janice Mirikitani for her poetry, community work and being selected as the San Francisco's Poet Laureate for 2000. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution commending and congratulating Janice Mirikitani for her poetry, community work and being selected as the San Francisco's Poet Laureate for 2000.",Resolution
000256,File: 000256 | Title: Hearing to consider discharge planning for seniors and people with disabilities leaving the hospital and ways this process can be improved. | Name: Hospital discharge planning | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Hearing to consider discharge planning for seniors and people with disabilities leaving the hospital and ways this process can be improved.,Hearing
000257,File: 000257 | Title: Hearing to receive report from the Department of Human Services on the number and type of services/contracts the department provides to the homeless and the problems and challenges the department faces in providing such services and at the various service locations. | Name: Department of Human Services homeless programs | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Hearing to receive report from the Department of Human Services on the number and type of services/contracts the department provides to the homeless and the problems and challenges the department faces in providing such services and at the various service locations.,Hearing
000258,File: 000258 | Title: Hearing to consider the status of the implementation of the Bicycle Transit Enhancement Plan. | Name: Bicycle Transit Enhancement Plan | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Hearing to consider the status of the implementation of the Bicycle Transit Enhancement Plan.,Hearing
000259,File: 000259 | Title: Hearing to consider the applicability of the Seattle JOA model to the sale of the San Francisco Examiner by the Hearst Corporation. | Name: Hearst Corporation's sale of the SF Examiner | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Hearing to consider the applicability of the Seattle JOA model to the sale of the San Francisco Examiner by the Hearst Corporation.,Hearing
000260,"File: 000260 | Title: Hearing to consider the Federal Environmental Impact Report on the Reuse of the Hunters Point Shipyard and related matters; such as, mitigation measures, employment issues, alternative transportation program, accountability of the Transportation Management Agency, the role of the Redevelopment Agency. | Name: Federal Environmental Impact Report on the Resuse of Hunters Point Shipyard | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Finance and Labor Committee","Hearing to consider the Federal Environmental Impact Report on the Reuse of the Hunters Point Shipyard and related matters; such as, mitigation measures, employment issues, alternative transportation program, accountability of the Transportation Management Agency, the role of the Redevelopment Agency.",Hearing
000261,File: 000261 | Title: Motion asking the Legislative Analysts to provide staff support for the Performance and Review Committee by helping participating departments finalize their efficiency plans. | Name: Legislative Analyst Request | Type: Motion | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors,Motion asking the Legislative Analysts to provide staff support for the Performance and Review Committee by helping participating departments finalize their efficiency plans.,Motion
000262,File: 000262 | Title: Motion concurring in the determination of the Mayor for the continued need for the declaration of emergency in connection with the needle exchange program. | Name: Needle Exchange Emergency | Type: Motion | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors,Motion concurring in the determination of the Mayor for the continued need for the declaration of emergency in connection with the needle exchange program.,Motion
000263,File: 000263 | Title: Hearing to discuss the Planning Code with regard to the granting of conditional use authorizations in RH-1 neighborhoods and to establish a procedure for greater neighborhood involvement in the Planning Department decisions to balance the City's need to provide more facilities to meet its Treatment on Demand Policy with preserving the integrity of single-family neighborhoods. | Name: Conditional Use Authorizations in RH-1 Neighborhoods | Type: Hearing | Status: Filed | Introduced: 2000-02-07 | Body: Clerk of the Board,Hearing to discuss the Planning Code with regard to the granting of conditional use authorizations in RH-1 neighborhoods and to establish a procedure for greater neighborhood involvement in the Planning Department decisions to balance the City's need to provide more facilities to meet its Treatment on Demand Policy with preserving the integrity of single-family neighborhoods.,Hearing
000264,"File: 000264 | Title: Motion approving final map of 965 Folsom Street, a Live/Work Condominium Project, being a subdivision of Lot 134 in Assessor's Block No. 3753, and adopting findings pursuant to Planning Code Section 101.1. | Name: Final Map of 965 Folsom Street, a new 15 unit live/work condominium project | Type: Motion | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Motion approving final map of 965 Folsom Street, a Live/Work Condominium Project, being a subdivision of Lot 134 in Assessor's Block No. 3753, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000265,"File: 000265 | Title: Motion approving final map of 636 Presidio Avenue, a Residential Condominium Project, being a merger and resubdivision of Lots 35 and 36, Assessor's Block No. 1046, and adopting findings pursuant to Planning Code Section 101.1. | Name: Final Map of 636 Presidio Avenue, a two lot merger and seven lot resubdivision project | Type: Motion | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Motion approving final map of 636 Presidio Avenue, a Residential Condominium Project, being a merger and resubdivision of Lots 35 and 36, Assessor's Block No. 1046, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000266,"File: 000266 | Title: Motion approving final map of 788 8th Avenue, a Mixed Use Condominium Project, being a subdivision of Lot 18, Assessor's Block No. 1650, and adopting findings pursuant to Planning Code Section 101.1. | Name: Final Map of 788 8th Avenue, a 12 unit new mixed-use condominium project | Type: Motion | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Motion approving final map of 788 8th Avenue, a Mixed Use Condominium Project, being a subdivision of Lot 18, Assessor's Block No. 1650, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000267,"File: 000267 | Title: Motion adopting findings related to the appeal of the Planning Commission's approval of Conditional Use Application No. 99.367C, allowing a residential care facility providing substance abuse services and transitional housing for a maximum nine adult women, in a 5-bedroom vacant house that will be updated to provide handicap accessibility and life/safety renovations without expanding the building, the house being in an RH-1 (House, One-Family, Detached) and a 40-X Height and Bulk District on property located at 634 Los Palmos Drive, north side, between Globe Alley and Emil Lane; Lot 17 in Assessor's Block 3005C. | Name: Findings - 634 Los Palmos | Type: Motion | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Motion adopting findings related to the appeal of the Planning Commission's approval of Conditional Use Application No. 99.367C, allowing a residential care facility providing substance abuse services and transitional housing for a maximum nine adult women, in a 5-bedroom vacant house that will be updated to provide handicap accessibility and life/safety renovations without expanding the building, the house being in an RH-1 (House, One-Family, Detached) and a 40-X Height and Bulk District on property located at 634 Los Palmos Drive, north side, between Globe Alley and Emil Lane; Lot 17 in Assessor's Block 3005C.",Motion
000268,"File: 000268 | Title: Resolution approving the North Terminal Hub Principal Retail Concession lease between Host International, Inc. and the City and County of San Francisco, acting by and through its Airport Commission. | Name: Approving the concession lease of Host International, Inc. for a specialty store and newsstand located at the North Terminal Hub of the Airport, at a minimum annual rent for the first year of $2,550,000 | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Resolution approving the North Terminal Hub Principal Retail Concession lease between Host International, Inc. and the City and County of San Francisco, acting by and through its Airport Commission.",Resolution
000269,"File: 000269 | Title: Resolution authorizing the Department of Public Health, the collaborating institution in the project entitled ""HIV Prevention Trials Network Leadership Group"" to enter into a subcontract in the amount of $7,782 with the Family Health International, the primary contractor, which does not include intellectual property indemnification and false claims clauses; retroactive to September 30, 1999. | Name: Approving a subcontract with the Family Health International to designate an Executive Committee member for the HIV Prevention Trials Network and liaison to Science Working Group | Type: Resolution | Status: Passed | Introduced: 2000-02-07 | Body: Board of Supervisors","Resolution authorizing the Department of Public Health, the collaborating institution in the project entitled ""HIV Prevention Trials Network Leadership Group"" to enter into a subcontract in the amount of $7,782 with the Family Health International, the primary contractor, which does not include intellectual property indemnification and false claims clauses; retroactive to September 30, 1999.",Resolution
000270,"File: 000270 | Title: Ordinance authorizing settlement of litigation of Yellow Cab Cooperative Inc. v. Board of Appeals, et al., Civil Action No. 995839, by execution of the settlement agreement on file.
       
..Version
Original Version 1

..Comment
(Civil Action No. 995839; filed on June 17, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.)       
..Version
Original Version 1

..Comment
(Civil Action No. 995839; filed on June 17, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.) | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance authorizing settlement of litigation of Yellow Cab Cooperative Inc. v. Board of Appeals, et al., Civil Action No. 995839, by execution of the settlement agreement on file.
       
..Version
Original Version 1

..Comment
(Civil Action No. 995839; filed on June 17, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.)       
..Version
Original Version 1

..Comment
(Civil Action No. 995839; filed on June 17, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.)",Ordinance
000271,"File: 000271 | Title: Ordinance appropriating $508,000 from the General Fund Reserve to fund the increased costs of indigent defense in adult criminal and juvenile delinquency cases for the trial court for Fiscal Year 1999-2000, providing for ratification of action previously taken, placing $254,000 on reserve. | Name: Appropriating $508,000, Trial Court, to pay for increased costs of indigent defense in adult criminal and juvenile delinquency cases | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance appropriating $508,000 from the General Fund Reserve to fund the increased costs of indigent defense in adult criminal and juvenile delinquency cases for the trial court for Fiscal Year 1999-2000, providing for ratification of action previously taken, placing $254,000 on reserve.",Ordinance
000272,"File: 000272 | Title: Ordinance appropriating $600,000 of Water Fund balance to fund initial clean-up activities of San Francisco Public Utilities Commission Bayside property located west of the Dumbarton Bridge, for fiscal year 1999-2000; placing $505,368 on reserve. | Name: Appropriating $600,000 for the clean-up project to remove 2,000 tons of contaminated debris from the 17 acres of PUC-Water Department bayside property leased to Peninsula Sportman's Club | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance appropriating $600,000 of Water Fund balance to fund initial clean-up activities of San Francisco Public Utilities Commission Bayside property located west of the Dumbarton Bridge, for fiscal year 1999-2000; placing $505,368 on reserve.",Ordinance
000273,"File: 000273 | Title: Ordinance appropriating $507,025 to General City Responsibility, payments to other governments, and rescinding $507,025 from lease-purchase, to provide funds for San Francisco's share of the capital improvement budget at the Peninsula Corridor Joint Powers Board, for fiscal year 1999-2000. | Name: Appropriating $507,025 for the 1999-2000 Joint Powers Board Caltrain Capital Plan | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance appropriating $507,025 to General City Responsibility, payments to other governments, and rescinding $507,025 from lease-purchase, to provide funds for San Francisco's share of the capital improvement budget at the Peninsula Corridor Joint Powers Board, for fiscal year 1999-2000.",Ordinance
000274,"File: 000274 | Title: Ordinance authorizing settlement of litigation of Luxor Cabs, Inc. v. San Francisco Police Commission, et al., Civil Action No. 995896, by execution of the settlement agreement on file.
       
..Version
Original Version 1

..Comment
(Civil Action No. 995896; filed on June 18, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.) | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance authorizing settlement of litigation of Luxor Cabs, Inc. v. San Francisco Police Commission, et al., Civil Action No. 995896, by execution of the settlement agreement on file.
       
..Version
Original Version 1

..Comment
(Civil Action No. 995896; filed on June 18, 1998.)

..Comment
(Supervisor Newsom dissenting in Committee.)",Ordinance
000275,"File: 000275 | Title: Resolution establishing monthly contribution amount to Health Service Trust Fund. | Name: Establishing monthly contribution to Health Service Trust Fund by City and County, Unified School District, and Community College District for fiscal year 2000-2001 | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors",Resolution establishing monthly contribution amount to Health Service Trust Fund.,Resolution
000276,"File: 000276 | Title: Ordinance amending Article III, Chapter II, Part II of the San Francisco Municipal Code (Planning Code) by amending Sections 313, 313.1, 313.2, 313.3, 313.4, 313.5, 313.6, 313.7, 313.8, 313.9, 313.10, 313.11, 313.12, 313.13, and 313.14, to rename the ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program,"" to apply the program to all new and expanded hotel space of at least 25,000 square feet, to all new and expanded entertainment space of at least 25,000 square feet, to all new and expanded retail space of at least 25,000 square feet, and to all new and expanded research and development space of at least 25,000 square feet; to set forth the number of housing units to be constructed for each type of development subject to this Ordinance; to increase the number of housing units and fees for office developments; and by adding Section 313.15 to require a study every five years determining the demand for housing created by commercial development. | Name: Planning Code amendment to rename ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program"" and to apply the program to hotel, entertainment, and retail space according to square footage | Type: Ordinance | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Ordinance amending Article III, Chapter II, Part II of the San Francisco Municipal Code (Planning Code) by amending Sections 313, 313.1, 313.2, 313.3, 313.4, 313.5, 313.6, 313.7, 313.8, 313.9, 313.10, 313.11, 313.12, 313.13, and 313.14, to rename the ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program,"" to apply the program to all new and expanded hotel space of at least 25,000 square feet, to all new and expanded entertainment space of at least 25,000 square feet, to all new and expanded retail space of at least 25,000 square feet, and to all new and expanded research and development space of at least 25,000 square feet; to set forth the number of housing units to be constructed for each type of development subject to this Ordinance; to increase the number of housing units and fees for office developments; and by adding Section 313.15 to require a study every five years determining the demand for housing created by commercial development.",Ordinance
000277,"File: 000277 | Title: Ordinance amending Article III, Chapter II, Part II of the San Francisco Municipal Code (Planning Code) by amending Sections 313, 313.1, 313.2, 313.3, 313.4, 131.5, 313.6, 313.7, 313.8, 313.9, 313.10, 313.11, 313.12, 313.13, and 313.14, and by adding Section 313.15, to rename the ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program,"" to apply the program to all new and expanded hotel space of at least 25,000 square feet, to all new and expanded entertainment space of at least 50,000 square feet, to all new and expanded E-commerce retail space of at least 50,000 square feet, and to all other new and expanded retail space of at least 100,000 square feet, and to all new and expanded research, development and technology business service space of at least 25,000 square feet. | Name: Planning Code amendment to rename ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program"" and to apply the program to hotel, entertainment, and retail space according to square footage | Type: Ordinance | Status: Filed | Introduced: 2000-02-14 | Body: Clerk of the Board","Ordinance amending Article III, Chapter II, Part II of the San Francisco Municipal Code (Planning Code) by amending Sections 313, 313.1, 313.2, 313.3, 313.4, 131.5, 313.6, 313.7, 313.8, 313.9, 313.10, 313.11, 313.12, 313.13, and 313.14, and by adding Section 313.15, to rename the ""Office Affordable Housing Production Program"" as the ""Jobs-Housing Linkage Program,"" to apply the program to all new and expanded hotel space of at least 25,000 square feet, to all new and expanded entertainment space of at least 50,000 square feet, to all new and expanded E-commerce retail space of at least 50,000 square feet, and to all other new and expanded retail space of at least 100,000 square feet, and to all new and expanded research, development and technology business service space of at least 25,000 square feet.",Ordinance
000278,"File: 000278 | Title: Petitions and Communications received from February 3 through noon on February 9, for reference by the President to the Committee considering related matters or to be ordered filed by the Clerk on February 14, 2000. | Name: Petitions and Communications | Type: Communication | Status: Filed | Introduced: 2000-02-14 | Body: Board of Supervisors","Petitions and Communications received from February 3 through noon on February 9, for reference by the President to the Committee considering related matters or to be ordered filed by the Clerk on February 14, 2000.",Communication
000279,"File: 000279 | Title: Resolution authorizing the Director of Administrative Services to accept and expend $1,986,000 from the Bay Area Air Quality Management District's Transportation fund for clean air for various projects including one to be developed by the San Francisco Municipal Railway, and authorizing the Directors of Administrative Services and San Francisco Municipal Railway to execute agreements with the Bay Area Air Quality Management District, whereby, the City would indemnify the District from claims resulting from the City's performance of said agreements. | Name: Grant funds to implement clean air vehicle projects of MUNI Railway and Department of Administrative Services, to reduce air pollution from motor vehicles | Type: Resolution | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Resolution authorizing the Director of Administrative Services to accept and expend $1,986,000 from the Bay Area Air Quality Management District's Transportation fund for clean air for various projects including one to be developed by the San Francisco Municipal Railway, and authorizing the Directors of Administrative Services and San Francisco Municipal Railway to execute agreements with the Bay Area Air Quality Management District, whereby, the City would indemnify the District from claims resulting from the City's performance of said agreements.",Resolution
000280,File: 000280 | Title: Resolution appointing two members to the Veterans Affairs Commission. | Name: Appointment | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution appointing two members to the Veterans Affairs Commission.,Resolution
000281,File: 000281 | Title: Resolution appointing one member to the Lead Hazard Reduction Citizens Advisory Committee. | Name: Appointment | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution appointing one member to the Lead Hazard Reduction Citizens Advisory Committee.,Resolution
000282,File: 000282 | Title: Resolution appointing three members to the Hazardous Materials Advisory Committee. | Name: Appointment | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution appointing three members to the Hazardous Materials Advisory Committee.,Resolution
000283,File: 000283 | Title: Resolution appointing two members to the Advisory Council to the Commission on Aging. | Name: Appointment | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution appointing two members to the Advisory Council to the Commission on Aging.,Resolution
000285,File: 000285 | Title: Resolution honoring Max Roach for his contribution to American culture. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution honoring Max Roach for his contribution to American culture.,Resolution
000286,File: 000286 | Title: Resolution acknowledging the extraordinary contributions made by Walter Johnson and Jane Johnson during their 50 years of matrimony. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution acknowledging the extraordinary contributions made by Walter Johnson and Jane Johnson during their 50 years of matrimony.,Resolution
000287,"File: 000287 | Title: Resolution approving the settlement of unlitigated claim of Patterson Environment Response Trust by payment of $42,989.00. | Name: Settlement of Claim | Type: Resolution | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Resolution approving the settlement of unlitigated claim of Patterson Environment Response Trust by payment of $42,989.00.",Resolution
000288,"File: 000288 | Title: Ordinance authorizing settlement of litigation of Gina Balestrieri against the City and County of San Francisco by payment of $65,000. | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Ordinance authorizing settlement of litigation of Gina Balestrieri against the City and County of San Francisco by payment of $65,000.",Ordinance
000289,"File: 000289 | Title: Hearing to consider release of reserved funds, Fire Department,(1986 Fire Protection Bond interest earnings, File 101-95-61: Ordinance No.127-96 ), in the amount of $59,120 to fund the emergency repairs of the City's Auxiliary Water System (AWSS) facilities located at Third/Evans Streets, and Evans/Selby Streets. | Name: Release of Funds, Fire Department | Type: Hearing | Status: Filed | Introduced: 2000-02-22 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Fire Department,(1986 Fire Protection Bond interest earnings, File 101-95-61: Ordinance No.127-96 ), in the amount of $59,120 to fund the emergency repairs of the City's Auxiliary Water System (AWSS) facilities located at Third/Evans Streets, and Evans/Selby Streets.",Hearing
000290,"File: 000290 | Title: 
Resolution determining that the issuance of a Type 40 on-sale beer license to Hossein Malek for ""Mo’s Grill"" located at 750 Folsom Street, Yerba Buena Gardens Bowling Center, will serve the convenience of the people of the City and County of San Francisco, in accordance with Section 23958.4 of the California Business and Professions Code, with a condition. | Name: Liquor License, ""Mo's Grill"", 750 Folsom Street | Type: Resolution | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","
Resolution determining that the issuance of a Type 40 on-sale beer license to Hossein Malek for ""Mo’s Grill"" located at 750 Folsom Street, Yerba Buena Gardens Bowling Center, will serve the convenience of the people of the City and County of San Francisco, in accordance with Section 23958.4 of the California Business and Professions Code, with a condition.",Resolution
000291,"File: 000291 | Title: Resolution authorizing the Department of Public Health, Community Health Network (CHN), to enter into an agreement with UCSF Stanford Health Care (UCSF) which does not include intellectual property indemnification and false claims clauses to provide administrative services for UCSF pursuant to its contract with the San Francisco Health Plan for the provision of services to Medi-Cal beneficiaries; retroactive to January 1, 2000. | Name: Authorizing DPH to enter into an agreement with UCSF Stanford Health Care to provide administrative services for UCSF pursuant to its contract with S.F. Health Plan for providing services to Medi-Cal beneficiaries | Type: Resolution | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Resolution authorizing the Department of Public Health, Community Health Network (CHN), to enter into an agreement with UCSF Stanford Health Care (UCSF) which does not include intellectual property indemnification and false claims clauses to provide administrative services for UCSF pursuant to its contract with the San Francisco Health Plan for the provision of services to Medi-Cal beneficiaries; retroactive to January 1, 2000.",Resolution
000292,"File: 000292 | Title: Hearing of persons interested in or objecting to the decision of the Planning Commission by its Motion No. 14959 dated January 13, 2000, approving Conditional Use Application No. 99.730C subject to conditions, allowing the installation of nine panel antennas and a base transceiver station on the roof of the existing three-story commercial building (which currently has antennas on its roof from two other wireless carriers, Nextel Communications and Pacific Bell Mobile Services), as part of Sprint’s wireless telecommunications network in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District, pursuant to Section 711.83 of the Planning Code, on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street; Lot 16 in Assessor’s Block 1215. | Name: Public Hearing - Appeal, Conditional Use, 1100 Oak Street | Type: Hearing | Status: Filed | Introduced: 2000-02-14 | Body: Clerk of the Board","Hearing of persons interested in or objecting to the decision of the Planning Commission by its Motion No. 14959 dated January 13, 2000, approving Conditional Use Application No. 99.730C subject to conditions, allowing the installation of nine panel antennas and a base transceiver station on the roof of the existing three-story commercial building (which currently has antennas on its roof from two other wireless carriers, Nextel Communications and Pacific Bell Mobile Services), as part of Sprint’s wireless telecommunications network in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District, pursuant to Section 711.83 of the Planning Code, on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street; Lot 16 in Assessor’s Block 1215.",Hearing
000293,"File: 000293 | Title: Motion approving decision of the Planning Commission by its Motion No. 14959 approving Conditional Use Application No. 99.730C on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street, and adopting findings pursuant to Planning Code Section 101.1 | Name: Appeal, Conditional Use, 1100 Oak Street | Type: Motion | Status: Filed | Introduced: 2000-02-22 | Body: Clerk of the Board","Motion approving decision of the Planning Commission by its Motion No. 14959 approving Conditional Use Application No. 99.730C on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street, and adopting findings pursuant to Planning Code Section 101.1",Motion
000294,"File: 000294 | Title: Motion disapproving decision of the Planning Commission by its Motion No. 14959 approving Conditional Use Application No. 99.730C on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street, and adopting findings pursuant to Planning Code Section 101.1 | Name: Appeal, Conditional Use, 1100 Oak Street | Type: Motion | Status: Filed | Introduced: 2000-02-22 | Body: Clerk of the Board","Motion disapproving decision of the Planning Commission by its Motion No. 14959 approving Conditional Use Application No. 99.730C on property located at 1100 Oak Street (also known as 425 Divisadero), northwest corner at Divisadero Street, and adopting findings pursuant to Planning Code Section 101.1",Motion
000295,"File: 000295 | Title: Motion directing the Clerk of the Board to prepare findings relating to proposed Conditional Use Application No. 99.730C on property located at 110 Oak Street (also known as 425 Divisadero Street), for action by the Board it its next meeting. | Name: Findings - 1100 Oak Street | Type: Motion | Status: Filed | Introduced: 2000-02-22 | Body: Clerk of the Board","Motion directing the Clerk of the Board to prepare findings relating to proposed Conditional Use Application No. 99.730C on property located at 110 Oak Street (also known as 425 Divisadero Street), for action by the Board it its next meeting.",Motion
